,channel_name,subscriber_count,view_count,video_count,playlist_id,latest_video_link
0,Taylor Swift,60100000,36912943387,274,UUqECaJ8Gagnn7YCbPEzWH6g,https://www.youtube.com/watch?v=b6zPqm0lLQs
1,The Weeknd,36200000,28856231678,188,UU0WP5P-ufpRfjbNrmOWwLBQ,https://www.youtube.com/watch?v=UhNwFRzJ1jw
2,Mark Tilbury,3730000,615573351,164,UUxgAuX3XZROujMmGphN_scA,https://www.youtube.com/watch?v=PjH5DJkR0k4
3,MrBeast,319000000,60450070160,820,UUX6OQ3DkcsbYNE6H8uQQuVA,https://www.youtube.com/watch?v=Kt2HvqRruHQ
